"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-2559583","Cellular Senescence","44/1288","193/10616",2.13641399668823e-05,0.00257146557419565,0.00218752437938412,"IFNB1/ETS2/H4C4/H4C5/MOV10/JUN/H4C13/H3C11/H2AZ2/NBN/H2AC4/AGO1/H1-3/H4C8/H3-3B/H4C2/H4C3/MAP4K4/RELA/MDM2/ANAPC16/NFKB1/H2BC21/H3C1/TNIK/H3C2/CDK4/H2AC14/H3C7/MAPK9/H1-2/CCNA2/H1-4/H2BC14/ANAPC5/CXCL8/TP53/H2BC10/PHC3/MAP2K6/H2BC9/STAT3/MRE11/ATM",44
"R-HSA-8953897","Cellular responses to external stimuli","90/1288","491/10616",3.02673817723683e-05,0.00326128724027982,0.0027743499340908,"CASTOR2/PSME2/MT2A/SOD2/PSMB8/MT1B/MT1G/PSMB9/IFNB1/ETS2/MT1F/H4C4/PSME1/H4C5/MOV10/JUN/H4C13/H3C11/MT1M/GSR/H2AZ2/NBN/H2AC4/AAAS/AGO1/H1-3/PSMF1/H4C8/H3-3B/H4C2/H4C3/DNAJA1/MT1A/MAP4K4/RELA/MT1H/MDM2/ANAPC16/MT1X/GPX2/CAMK2D/NFKB1/NUP210/H2BC21/PSMB10/NUP43/H3C1/TNIK/RRAGD/MT1E/H3C2/CDK4/MTOR/PSMA5/BAG1/PSMA3/H2AC14/H3C7/NUP155/PSMA6/MAPK9/H1-2/ATP7A/HSPA2/EPAS1/CCNA2/CSRP1/H1-4/H2BC14/AJUBA/ANAPC5/CXCL8/TP53/ATP6V0D1/NUP188/PSMA4/H2BC10/NUDT2/PHC3/MAP2K6/H2BC9/STAT3/HSPA4L/MRE11/DYNC1I2/PSMA2/NUP42/HSPA1A/HIKESHI/ATM",90
"R-HSA-168928","DDX58/IFIH1-mediated induction of interferon-alpha/beta","23/1288","78/10616",3.20217025103004e-05,0.00326128724027982,0.0027743499340908,"IFIH1/HERC5/DDX58/TNFAIP3/UBE2L6/IFNB1/DHX58/IRF7/NFKB2/UBA7/ISG15/NLRC5/CYLD/CASP10/NFKBIA/MAVS/RELA/NFKB1/RIPK1/IFNA13/TRIM25/CASP8/SIKE1",23
"R-HSA-5213460","RIPK1-mediated regulated necrosis","10/1288","20/10616",3.90195365817279e-05,0.00341224557916948,0.00290276893759846,"TNFSF10/MLKL/BIRC3/FAS/CFLAR/BIRC2/RIPK1/TNFRSF10B/CASP8/TNFRSF10A",10
"R-HSA-5218859","Regulated Necrosis","10/1288","20/10616",3.90195365817279e-05,0.00341224557916948,0.00290276893759846,"TNFSF10/MLKL/BIRC3/FAS/CFLAR/BIRC2/RIPK1/TNFRSF10B/CASP8/TNFRSF10A",10
"R-HSA-5357801","Programmed Cell Death","41/1288","180/10616",4.12355961228941e-05,0.00341224557916948,0.00290276893759846,"TNFSF10/PSME2/PMAIP1/PSMB8/MLKL/BIRC3/FAS/PSMB9/PSME1/CASP7/DSP/CFLAR/DFFA/H1-3/PSMF1/UACA/MAGED1/MAPT/CASP3/BIRC2/PSMB10/RIPK1/PSMA5/PSMA3/CDH1/TNFRSF10B/PSMA6/H1-2/CASP8/H1-4/TP53/PSMA4/OCLN/PRKCQ/AKT3/STAT3/APIP/TNFRSF10A/BAX/STK26/PSMA2",41
"R-HSA-3371378","Regulation by c-FLIP","7/1288","11/10616",8.06396107012811e-05,0.00501775099426311,0.00426855904266301,"TNFSF10/FAS/CFLAR/RIPK1/TNFRSF10B/CASP8/TNFRSF10A",7
"R-HSA-5218900","CASP8 activity is inhibited","7/1288","11/10616",8.06396107012811e-05,0.00501775099426311,0.00426855904266301,"TNFSF10/FAS/CFLAR/RIPK1/TNFRSF10B/CASP8/TNFRSF10A",7
"R-HSA-69416","Dimerization of procaspase-8","7/1288","11/10616",8.06396107012811e-05,0.00501775099426311,0.00426855904266301,"TNFSF10/FAS/CFLAR/RIPK1/TNFRSF10B/CASP8/TNFRSF10A",7
"R-HSA-606279","Deposition of new CENPA-containing nucleosomes at the centromere","21/1288","72/10616",8.32652292802133e-05,0.00501775099426311,0.00426855904266301,"H4C4/H4C5/SMARCA5/H4C13/CENPI/H2AZ2/H2AC4/H4C8/H4C2/H4C3/H2BC21/CENPA/HJURP/H2AC14/CENPW/KNL1/CENPS/H2BC14/H2BC10/RSF1/H2BC9",21
"R-HSA-774815","Nucleosome assembly","21/1288","72/10616",8.32652292802133e-05,0.00501775099426311,0.00426855904266301,"H4C4/H4C5/SMARCA5/H4C13/CENPI/H2AZ2/H2AC4/H4C8/H4C2/H4C3/H2BC21/CENPA/HJURP/H2AC14/CENPW/KNL1/CENPS/H2BC14/H2BC10/RSF1/H2BC9",21
"R-HSA-1236975","Antigen processing-Cross presentation","26/1288","99/10616",9.02756616343501e-05,0.00501775099426311,0.00426855904266301,"B2M/HLA-B/HLA-E/TAP1/HLA-C/TAP2/HLA-F/HLA-A/MYD88/PSME2/HLA-G/PSMB8/CTSS/PSMB9/TAPBP/PSME1/PSMF1/PSMB10/LNPEP/PSMA5/PSMA3/PSMA6/PSMA4/TLR6/ITGB5/PSMA2",26
"R-HSA-1236974","ER-Phagosome pathway","23/1288","83/10616",9.34518379566265e-05,0.00501775099426311,0.00426855904266301,"B2M/HLA-B/HLA-E/TAP1/HLA-C/TAP2/HLA-F/HLA-A/MYD88/PSME2/HLA-G/PSMB8/PSMB9/TAPBP/PSME1/PSMF1/PSMB10/PSMA5/PSMA3/PSMA6/PSMA4/TLR6/PSMA2",23
"R-HSA-5675482","Regulation of necroptotic cell death","9/1288","18/10616",9.66030827294922e-05,0.00501775099426311,0.00426855904266301,"TNFSF10/BIRC3/FAS/CFLAR/BIRC2/RIPK1/TNFRSF10B/CASP8/TNFRSF10A",9
"R-HSA-3214815","HDACs deacetylate histones","25/1288","94/10616",9.82146033200064e-05,0.00501775099426311,0.00426855904266301,"H4C4/TBL1X/H4C5/H2AC12/H4C13/H3C11/H2AC21/H2AC4/RCOR1/H4C8/H4C2/H4C3/CHD3/ARID4B/H2BC21/H3C1/H3C2/H2AC14/H3C7/H2AC11/H2BC14/HDAC8/ARID4A/H2BC10/H2BC9",25
"R-HSA-5578749","Transcriptional regulation by small RNAs","27/1288","105/10616",9.85358956577348e-05,0.00501775099426311,0.00426855904266301,"H4C4/H4C5/H4C13/H3C11/H2AZ2/H2AC4/AAAS/AGO1/H4C8/H3-3B/H4C2/H4C3/NUP210/H2BC21/POLR2B/NUP43/H3C1/H3C2/H2AC14/H3C7/NUP155/H2BC14/IPO8/NUP188/H2BC10/H2BC9/NUP42",27
"R-HSA-2559580","Oxidative Stress Induced Senescence","30/1288","123/10616",0.000118306713698717,0.0058014107013741,0.00493521183850397,"IFNB1/H4C4/H4C5/MOV10/JUN/H4C13/H3C11/H2AZ2/H2AC4/AGO1/H4C8/H3-3B/H4C2/H4C3/MAP4K4/MDM2/H2BC21/H3C1/TNIK/H3C2/CDK4/H2AC14/H3C7/MAPK9/H2BC14/TP53/H2BC10/PHC3/MAP2K6/H2BC9",30
"R-HSA-68875","Mitotic Prophase","33/1288","141/10616",0.000130262702212132,0.00608091447528673,0.00517298337458801,"PRKCA/BLZF1/H4C4/MASTL/H4C5/H4C13/H3C11/H2AZ2/H2AC4/AAAS/H4C8/CCNB2/H3-3B/H4C2/H4C3/PLK1/NEK7/NUP210/H2BC21/NUP43/H3C1/H3C2/H2AC14/H3C7/NUP155/H2BC14/NUMA1/NEK9/NUP188/H2BC10/H2BC9/NUP42/PPP2R1A",33
"R-HSA-109581","Apoptosis","39/1288","177/10616",0.000134473412996713,0.00608091447528673,0.00517298337458801,"TNFSF10/PSME2/PMAIP1/PSMB8/FAS/PSMB9/PSME1/CASP7/DSP/CFLAR/DFFA/H1-3/PSMF1/UACA/MAGED1/MAPT/CASP3/BIRC2/PSMB10/RIPK1/PSMA5/PSMA3/CDH1/TNFRSF10B/PSMA6/H1-2/CASP8/H1-4/TP53/PSMA4/OCLN/PRKCQ/AKT3/STAT3/APIP/TNFRSF10A/BAX/STK26/PSMA2",39
"R-HSA-983169","Class I MHC mediated antigen processing & presentation","69/1288","369/10616",0.000137785071192298,0.00608091447528673,0.00517298337458801,"HERC5/DTX3L/B2M/HLA-B/HLA-E/TRIM21/TAP1/HLA-C/HERC6/TAP2/RNF213/HLA-F/HLA-A/MYD88/PSME2/HLA-G/PSMB8/UBE2L6/CTSS/ERAP1/PSMB9/TAPBP/ERAP2/RNF19B/PSME1/UBA7/RNF114/PSMF1/RBBP6/LMO7/FBXL20/RNF130/KLHL5/RBCK1/TRIP12/PSMB10/HERC1/SEC24D/LNPEP/SMURF1/PSMA5/PSMA3/HECTD1/KLHL11/HUWE1/PSMA6/UBE2Z/FBXL4/CCNF/UBE3B/ANAPC5/DET1/WSB1/SOCS1/PSMA4/RNF25/TLR6/ASB17/UBA6/ITGB5/RNF182/FBXO27/CUL3/LONRF1/UFL1/FBXO22/PSMA2/CBLB/RNF19A",69
"R-HSA-1169410","Antiviral mechanism by IFN-stimulated genes","22/1288","80/10616",0.00014894492019378,0.0063613894947279,0.0054115811411662,"OAS2/OASL/IFIT1/HERC5/DDX58/OAS1/OAS3/USP18/STAT1/UBE2L6/EIF2AK2/UBA7/ISG15/MX1/AAAS/NUP210/NUP43/NUP155/TRIM25/NUP188/RNASEL/NUP42",22
"R-HSA-157118","Signaling by NOTCH","48/1288","234/10616",0.000156183207419519,0.00646208020698259,0.00549723789272648,"STAT1/PSME2/PSMB8/PSMB9/JAG1/H4C4/PSME1/TBL1X/H4C5/MOV10/ARRB1/JUN/H4C13/H3C11/TLE4/H2AZ2/H2AC4/HES1/AGO1/PSMF1/H4C8/H3-3B/H4C2/H4C3/KAT2B/H2BC21/PSMB10/H3C1/H3C2/PSMA5/PSMA3/H2AC14/H3C7/CNTN1/DLGAP5/PSMA6/ARRB2/H2BC14/HDAC8/TP53/MAML2/PSMA4/H2BC10/APH1A/SEL1L/H2BC9/POFUT1/PSMA2",48
"R-HSA-8851680","Butyrophilin (BTN) family interactions","7/1288","12/10616",0.000173238824007976,0.00674612361725175,0.00573887125970693,"BTN3A1/BTN3A3/BTN3A2/BTN2A1/BTN2A2/PPL/XDH",7
"R-HSA-933543","NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10","7/1288","12/10616",0.000173238824007976,0.00674612361725175,0.00573887125970693,"IFIH1/DDX58/CASP10/MAVS/RIPK1/TRIM25/CASP8",7
"R-HSA-1912408","Pre-NOTCH Transcription and Translation","24/1288","92/10616",0.000185776765555111,0.0070276696455705,0.00597838012463066,"H4C4/H4C5/MOV10/JUN/H4C13/H3C11/H2AZ2/H2AC4/AGO1/H4C8/H3-3B/H4C2/H4C3/KAT2B/H2BC21/H3C1/H3C2/H2AC14/H3C7/H2BC14/TP53/MAML2/H2BC10/H2BC9",24
"R-HSA-2559582","Senescence-Associated Secretory Phenotype (SASP)","27/1288","109/10616",0.000193645735651805,0.00712185983341638,0.00605850693413542,"H4C4/H4C5/JUN/H4C13/H3C11/H2AZ2/H2AC4/H4C8/H3-3B/H4C2/H4C3/RELA/ANAPC16/NFKB1/H2BC21/H3C1/H3C2/CDK4/H2AC14/H3C7/CCNA2/H2BC14/ANAPC5/CXCL8/H2BC10/H2BC9/STAT3",27
"R-HSA-1500620","Meiosis","28/1288","117/10616",0.00027691541001082,0.00976561407475633,0.00830752668149887,"MSH4/H4C4/H4C5/H4C13/H3C11/H2AZ2/NBN/H2AC4/H4C8/H3-3B/H4C2/H4C3/MSH5/H2BC21/H3C1/H3C2/CDK4/H2AC14/H3C7/SYNE1/HSPA2/H2BC14/H2BC10/H2BC9/BRCA1/BRCA2/MRE11/ATM",28
"R-HSA-73728","RNA Polymerase I Promoter Opening","18/1288","62/10616",0.000280281974955242,0.00976561407475633,0.00830752668149887,"H4C4/H4C5/H4C13/H3C11/H2AZ2/H2AC4/H4C8/H3-3B/H4C2/H4C3/H2BC21/H3C1/H3C2/H2AC14/H3C7/H2BC14/H2BC10/H2BC9",18
"R-HSA-8939236","RUNX1 regulates transcription of genes involved in differentiation of HSCs","30/1288","129/10616",0.000291150245337433,0.00988417755966055,0.0084083876521202,"PSME2/PSMB8/PSMB9/H4C4/PSME1/H4C5/H4C13/GATA3/H3C11/H2AZ2/H2AC4/PSMF1/H4C8/H3-3B/H4C2/H4C3/H2BC21/PSMB10/H3C1/H3C2/PSMA5/PSMA3/H2AC14/H3C7/PSMA6/H2BC14/PSMA4/H2BC10/H2BC9/PSMA2",30
"R-HSA-5693571","Nonhomologous End-Joining (NHEJ)","19/1288","68/10616",0.000330516742680901,0.0109401041827378,0.00930665564917275,"H4C4/H4C5/H4C13/PRKDC/NBN/H4C8/H4C2/H4C3/H2BC21/BABAM1/DCLRE1C/H2BC14/H2BC10/BARD1/H2BC9/BRCA1/MRE11/XRCC5/ATM",19
"R-HSA-2559586","DNA Damage/Telomere Stress Induced Senescence","21/1288","79/10616",0.000348282120252819,0.0112469640784081,0.00956769881053958,"H4C4/H4C5/H4C13/H2AZ2/NBN/H2AC4/H1-3/H4C8/H4C2/H4C3/H2BC21/H2AC14/H1-2/CCNA2/H1-4/H2BC14/TP53/H2BC10/H2BC9/MRE11/ATM",21
"R-HSA-1912422","Pre-NOTCH Expression and Processing","26/1288","108/10616",0.000408611830848039,0.0128810015248286,0.0109577608773785,"H4C4/H4C5/MOV10/JUN/H4C13/H3C11/H2AZ2/H2AC4/AGO1/H4C8/H3-3B/H4C2/H4C3/KAT2B/H2BC21/H3C1/H3C2/H2AC14/H3C7/H2BC14/TP53/MAML2/H2BC10/SEL1L/H2BC9/POFUT1",26
"R-HSA-5334118","DNA methylation","18/1288","64/10616",0.000430897418511056,0.0132676321420614,0.0112866643281966,"H4C4/H4C5/H4C13/H3C11/H2AZ2/H2AC4/H4C8/H3-3B/H4C2/H4C3/H2BC21/H3C1/H3C2/H2AC14/H3C7/H2BC14/H2BC10/H2BC9",18
"R-HSA-918233","TRAF3-dependent IRF activation pathway","7/1288","14/10616",0.000601922132371433,0.0177777102626797,0.0151233502791122,"IFIH1/DDX58/IFNB1/IRF7/MAVS/TRIM25/SIKE1",7
"R-HSA-3214842","HDMs demethylate histones","15/1288","50/10616",0.000604227312553314,0.0177777102626797,0.0151233502791122,"H4C4/H4C5/H4C13/H3C11/KDM7A/KDM6A/H4C8/H4C2/H4C3/H3C1/H3C2/H3C7/RIOX2/KDM2A/UTY",15
"R-HSA-5625886","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3","18/1288","66/10616",0.000646905988124247,0.0186196419190544,0.015839574537596,"H4C4/H4C5/H4C13/H3C11/H2AZ2/H2AC4/H4C8/H3-3B/H4C2/H4C3/H2BC21/H3C1/H3C2/H2AC14/H3C7/H2BC14/H2BC10/H2BC9",18
"R-HSA-212300","PRC2 methylates histones and DNA","19/1288","72/10616",0.0007228788003706,0.0203636496104399,0.0173231873773022,"H4C4/H4C5/H4C13/H3C11/H2AZ2/H2AC4/H4C8/H3-3B/H4C2/H4C3/H2BC21/H3C1/H3C2/H2AC14/H3C7/H2BC14/H2BC10/H2BC9/MTF2",19
"R-HSA-3214847","HATs acetylate histones","31/1288","142/10616",0.000743278620060437,0.020502101936667,0.0174409676198392,"H4C4/H4C5/H2AC12/H4C13/H3C11/H2AC21/H2AC4/JADE2/H4C8/H4C2/H4C3/USP22/ATXN7/KAT2B/H2BC21/H3C1/H3C2/YEATS2/H2AC14/H3C7/H2AC11/H2BC14/H2BC10/ENY2/TAF12/H2BC9/EPC1/KAT14/TADA2A/JADE1/HAT1",31
"R-HSA-8878171","Transcriptional regulation by RUNX1","46/1288","237/10616",0.000763353639461576,0.0206261269111659,0.0175464746342403,"PSME2/PSMB8/PML/PSMB9/H4C4/PSME1/H4C5/ELF1/MOV10/H4C13/GATA3/H3C11/NR4A3/H2AZ2/H2AC4/AGO1/PSMF1/H4C8/H3-3B/H4C2/H4C3/KAT2B/H2BC21/PSMB10/H3C1/PCGF5/H3C2/PSMA5/PSMA3/H2AC14/H3C7/PSMA6/GPAM/CCND3/H2BC14/PSMA4/H2BC10/OCLN/PRKCQ/PHC3/HIPK2/LIFR/H2BC9/RYBP/PSMA2/SRC",46
"R-HSA-427359","SIRT1 negatively regulates rRNA expression","18/1288","67/10616",0.000786033112498736,0.0208141568189665,0.0177064301131294,"H4C4/H4C5/H4C13/H3C11/H2AZ2/H2AC4/H4C8/H3-3B/H4C2/H4C3/H2BC21/H3C1/H3C2/H2AC14/H3C7/H2BC14/H2BC10/H2BC9",18
"R-HSA-9018519","Estrogen-dependent gene expression","32/1288","149/10616",0.000827913799805529,0.0214932915871082,0.0182841644126298,"H4C4/H4C5/MOV10/JUN/H4C13/GATA3/H3C11/H2AZ2/H2AC4/AGO1/H4C8/CTSD/H3-3B/H4C2/H4C3/KAT2B/H2BC21/POLR2B/H3C1/NR5A2/USF1/H3C2/H2AC14/H3C7/CXXC5/GPAM/H2BC14/H2BC10/YY1/H2BC9/FOSB/NRIP1",32
"R-HSA-2299718","Condensation of Prophase Chromosomes","19/1288","73/10616",0.0008681699674758,0.0221049430180377,0.0188044911983625,"H4C4/H4C5/H4C13/H3C11/H2AZ2/H2AC4/H4C8/H3-3B/H4C2/H4C3/PLK1/H2BC21/H3C1/H3C2/H2AC14/H3C7/H2BC14/H2BC10/H2BC9",19
"R-HSA-201722","Formation of the beta-catenin:TCF transactivating complex","22/1288","90/10616",0.000888959385809232,0.0222072118266306,0.0188914904233541,"H4C4/H4C5/H4C13/H3C11/TLE4/H2AZ2/H2AC4/H4C8/H3-3B/H4C2/H4C3/H2BC21/H3C1/H3C2/H2AC14/H3C7/H2BC14/H2BC10/CDC73/H2BC9/AXIN2/TCF7L2",22
"R-HSA-8936459","RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function","23/1288","96/10616",0.000924328252057485,0.0226631593652613,0.0192793612027585,"H4C4/H4C5/MOV10/H4C13/H3C11/NR4A3/H2AZ2/H2AC4/AGO1/H4C8/H3-3B/H4C2/H4C3/KAT2B/H2BC21/H3C1/H3C2/H2AC14/H3C7/H2BC14/H2BC10/PRKCQ/H2BC9",23
"R-HSA-1834949","Cytosolic sensors of pathogen-associated DNA ","17/1288","63/10616",0.00103193590706657,0.024841511653748,0.0211324673791623,"TRIM21/TLR3/IFI16/MYD88/IRF7/NFKB2/TRIM56/PRKDC/NFKBIA/RELA/NFKB1/RIPK1/CGAS/MRE11/LRRFIP1/STAT6/XRCC5",17
"R-HSA-3247509","Chromatin modifying enzymes","51/1288","274/10616",0.0010975006644543,0.0254928224515349,0.0216865320584691,"H4C4/NFKB2/TBL1X/PADI2/H4C5/H2AC12/JAK2/H4C13/H3C11/H2AC21/KDM7A/KDM6A/H2AZ2/H2AC4/RCOR1/JADE2/H4C8/H4C2/H4C3/USP22/RELA/SETD7/CHD3/ATXN7/ARID4B/NFKB1/KAT2B/H2BC21/H3C1/H3C2/CDK4/YEATS2/H2AC14/H3C7/H2AC11/RIOX2/PADI3/H2BC14/HDAC8/ARID4A/H2BC10/ENY2/KDM2A/TAF12/H2BC9/EPC1/KAT14/UTY/TADA2A/JADE1/HAT1",51
"R-HSA-4839726","Chromatin organization","51/1288","274/10616",0.0010975006644543,0.0254928224515349,0.0216865320584691,"H4C4/NFKB2/TBL1X/PADI2/H4C5/H2AC12/JAK2/H4C13/H3C11/H2AC21/KDM7A/KDM6A/H2AZ2/H2AC4/RCOR1/JADE2/H4C8/H4C2/H4C3/USP22/RELA/SETD7/CHD3/ATXN7/ARID4B/NFKB1/KAT2B/H2BC21/H3C1/H3C2/CDK4/YEATS2/H2AC14/H3C7/H2AC11/RIOX2/PADI3/H2BC14/HDAC8/ARID4A/H2BC10/ENY2/KDM2A/TAF12/H2BC9/EPC1/KAT14/UTY/TADA2A/JADE1/HAT1",51
"R-HSA-449147","Signaling by Interleukins","78/1288","460/10616",0.00119281571284104,0.0272291035138196,0.0231635719190546,"CCL5/IFNL2/STAT2/IFNL1/CXCL10/IFNL3/STAT1/MYD88/PSME2/SOD2/PSMB8/PSMB9/CCL20/IRAK2/MCL1/CSF1/NFKB2/PSME1/FGF2/CXCL2/JUN/JAK2/JUNB/IL15/GATA3/H3C11/NFKBIA/IL22RA1/PSMF1/RELA/CXCL1/OSMR/MAP3K8/LGALS9/CCL2/NFKB1/CASP3/PSMB10/H3C1/MUC1/IL23A/H3C2/IL18R1/PSMA5/CASP1/PSMA3/H3C7/IL18BP/TALDO1/PSMA6/RIPK2/MAPK9/IL6ST/PIK3R3/ANXA1/IL7/DUSP6/CXCL8/TP53/IL12A/SOCS1/PTPN12/PSMA4/IL1R1/ITGB1/FN1/MAP2K6/LIFR/STX3/STAT3/AIP/SOCS5/STAT6/PELI1/PSMA2/PTPN14/PPP2R1A/RPS6KA5",78
"R-HSA-427389","ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression","19/1288","75/10616",0.00123497089059735,0.027713584053405,0.0235757154850877,"H4C4/H4C5/H4C13/H3C11/H2AZ2/H2AC4/H4C8/H3-3B/H4C2/H4C3/CHD3/H2BC21/H3C1/H3C2/H2AC14/H3C7/H2BC14/H2BC10/H2BC9",19
"R-HSA-211000","Gene Silencing by RNA","29/1288","135/10616",0.00141471470210557,0.0311018688497422,0.0264581011839912,"H4C4/H4C5/H4C13/H3C11/TDRKH/H2AZ2/H2AC4/AAAS/AGO1/H4C8/H3-3B/H4C2/H4C3/NUP210/H2BC21/POLR2B/NUP43/H3C1/H3C2/H2AC14/H3C7/NUP155/DICER1/H2BC14/IPO8/NUP188/H2BC10/H2BC9/NUP42",29
"R-HSA-2262752","Cellular responses to stress","80/1288","477/10616",0.00143294108748812,0.0311018688497422,0.0264581011839912,"CASTOR2/PSME2/SOD2/PSMB8/PSMB9/IFNB1/ETS2/H4C4/PSME1/H4C5/MOV10/JUN/H4C13/H3C11/GSR/H2AZ2/NBN/H2AC4/AAAS/AGO1/H1-3/PSMF1/H4C8/H3-3B/H4C2/H4C3/DNAJA1/MAP4K4/RELA/MDM2/ANAPC16/GPX2/CAMK2D/NFKB1/NUP210/H2BC21/PSMB10/NUP43/H3C1/TNIK/RRAGD/H3C2/CDK4/MTOR/PSMA5/BAG1/PSMA3/H2AC14/H3C7/NUP155/PSMA6/MAPK9/H1-2/ATP7A/HSPA2/EPAS1/CCNA2/H1-4/H2BC14/AJUBA/ANAPC5/CXCL8/TP53/ATP6V0D1/NUP188/PSMA4/H2BC10/NUDT2/PHC3/MAP2K6/H2BC9/STAT3/HSPA4L/MRE11/DYNC1I2/PSMA2/NUP42/HSPA1A/HIKESHI/ATM",80
